"","SRR24471197","SRR24471201","SRR24471203","SRR24471209","SRR24471211","SRR24471213"
"polr1e",5.5513062241392,4.99458080309066,6.76924597231052,6.9000908770603,7.93308291095742,6.80609944562246
"polr1f",5.78684706996765,5.32871248935974,7.36049687362013,7.09383770662647,7.77038699803339,7.32056145243483
"taf1b",4.41994513318768,4.63642130091232,5.07533226614778,5.29332305275758,5.45926908854,5.17531980959635
"polr1d",4.24192886108919,5.12836742786,6.40502694502542,6.5855586596088,8.45495318874594,6.89482362840418
"polr1c",5.25809067764538,4.48128050791609,6.79947760464371,6.93350669648518,8.49892930839644,7.21107307520927
"polr1b",4.84406636916417,5.97698777582569,5.67420172804764,4.95249431321485,4.5446148411325,4.75084944293242
"polr1g",6.02696610503831,4.90398368228086,6.6830720736025,6.64398830474967,7.90982294395532,6.64659768495266
"polr1a",8.27781496834914,8.30963790159814,8.37464856087796,8.2737927493237,8.26229431670347,8.24888957516583
"rrn3",6.91128325334613,7.34357855221149,7.70780573339287,7.81359466443971,7.00059789412496,7.99181600557348
